DS,What,chr,GO,NS,enrichment,name,ratio_in_study,ratio_in_pop,p_uncorrected,depth,study_count,p_fdr_bh,study_items
Blood cell pcHi-C,DegSupport 14 (log link count) vs Links w/ 2+ tissue,chr4,GO:0006807,BP,e,nitrogen compound metabolic process,112/208,244/601,2.19e-06,2,112,0.0119,"ABCE1, ABCG2, ADD1, ADH5, AGA, AIMP1, ANAPC10, ANAPC4, BBS12, BDH2, CASP3, CASP6, CBR4, CCRN4L, CDKL2, CFI, COPS4, CPE, DAPP1, DCAF16, DCK, DHX15, EIF4E, ELF2, ELOVL6, ENOPH1, ENPEP, EXOC1, FBXL5, FBXO8, FIP1L1, FNIP2, GALNT7, GAR1, GRPEL1, GRSF1, GSTCD, GUCY1A3, GUCY1B3, GUF1, HERC3, HERC5, HMGB2, HNRNPD, HNRNPDL, IL8, INTS12, IRF2, JADE1, KLHL2, LAP3, LARP7, LCORL, LEF1, LIN54, LSM6, MAD2L1, MAML3, MANBA, MED28, METAP1, MMAA, MND1, MOB1B, MRPS18C, MTHFD2L, MTTP, NAA15, NAF1, NEK1, NEUROG2, NFKB1, NOA1, OSTC, OTUD4, PAICS, PAPSS1, PDE5A, PIGY, PLA2G12A, PLRG1, POLR2B, PPA2, PPAT, PPID, PRIMPOL, PYURF, QDPR, RCHY1, REST, RPL34, SEC24B, SEC31A, SEPSECS, SMARCA5, SMARCAD1, SPATA5, SPCS3, SRD5A3, SRP72, TBCK, TET2, THAP9, TMEM165, TMPRSS11D, TNIP2, UBA6, UBE2D3, USP38, YTHDC1, ZNF518B, ZNF827"
Blood cell pcHi-C,DegSupport 14 (log link count) vs Links w/ 2+ tissue,chr4,GO:0044238,BP,e,primary metabolic process     ,121/208,272/601,4.64e-06,2,121,0.0127,"AASDH, ABCE1, ADD1, ADH5, AGA, AIMP1, ANAPC10, ANAPC4, BBS12, BDH2, CASP3, CASP6, CBR4, CCRN4L, CDKL2, CFI, COPS4, COQ2, CPE, CYP2U1, DAPP1, DCAF16, DCK, DHX15, EIF4E, ELF2, ELOVL6, ENOPH1, ENPEP, ETFDH, EXOC1, FABP2, FBXL5, FBXO8, FIP1L1, FNIP2, GALNT7, GAR1, GNPDA2, GRPEL1, GRSF1, GSTCD, GUCY1A3, GUCY1B3, GUF1, HADH, HERC3, HERC5, HMGB2, HNRNPD, HNRNPDL, IL8, INTS12, IRF2, JADE1, KLHL2, LAP3, LARP7, LCORL, LEF1, LIN54, LSM6, MAD2L1, MAML3, MAN2B2, MANBA, MED28, METAP1, MMAA, MND1, MOB1B, MRPS18C, MSMO1, MTHFD2L, MTTP, NAA15, NAF1, NEK1, NEUROG2, NFKB1, NOA1, OSTC, OTUD4, PAICS, PAPSS1, PDE5A, PI4K2B, PIGY, PLA2G12A, PLRG1, POLR2B, PPA2, PPAT, PPID, PRIMPOL, PYURF, QDPR, RCHY1, REST, RPL34, SEC24B, SEC31A, SEPSECS, SMARCA5, SMARCAD1, SPATA5, SPCS3, SRD5A3, SRP72, TBCK, TET2, THAP9, TMEM165, TMPRSS11D, TNIP2, UBA6, UBE2D3, USP38, YTHDC1, ZNF518B, ZNF827"
Blood cell pcHi-C,DegSupport 14 (log link count) vs Links w/ 2+ tissue,chr4,GO:0043170,BP,e,macromolecule metabolic process,97/208,209/601,1.42e-05,3,97,0.022,"ABCE1, ADD1, ADH5, AGA, AIMP1, ANAPC10, ANAPC4, BBS12, CASP3, CASP6, CCRN4L, CDKL2, CFI, COPS4, CPE, DAPP1, DCAF16, DHX15, EIF4E, ELF2, ENPEP, EXOC1, FBXL5, FBXO8, FIP1L1, FNIP2, GALNT7, GAR1, GRPEL1, GRSF1, GSTCD, GUF1, HERC3, HERC5, HMGB2, HNRNPD, HNRNPDL, IL8, INTS12, IRF2, JADE1, KLHL2, LAP3, LARP7, LCORL, LEF1, LIN54, LSM6, MAD2L1, MAML3, MANBA, MED28, METAP1, MND1, MOB1B, MRPS18C, MTTP, NAA15, NAF1, NEK1, NEUROG2, NFKB1, NOA1, OSTC, OTUD4, PAPSS1, PIGY, PLRG1, POLR2B, PPA2, PPID, PRIMPOL, PYURF, RCHY1, REST, RPL34, SEC24B, SEC31A, SEPSECS, SMARCA5, SMARCAD1, SPATA5, SPCS3, SRD5A3, SRP72, TBCK, TET2, THAP9, TMEM165, TMPRSS11D, TNIP2, UBA6, UBE2D3, USP38, YTHDC1, ZNF518B, ZNF827"
Blood cell pcHi-C,DegSupport 14 (log link count) vs Links w/ 2+ tissue,chr4,GO:0071704,BP,e,organic substance metabolic process,122/208,279/601,1.61e-05,2,122,0.022,"AASDH, ABCE1, ABCG2, ADD1, ADH5, AGA, AIMP1, ANAPC10, ANAPC4, BBS12, BDH2, CASP3, CASP6, CBR4, CCRN4L, CDKL2, CFI, COPS4, COQ2, CPE, CYP2U1, DAPP1, DCAF16, DCK, DHX15, EIF4E, ELF2, ELOVL6, ENOPH1, ENPEP, ETFDH, EXOC1, FABP2, FBXL5, FBXO8, FIP1L1, FNIP2, GALNT7, GAR1, GNPDA2, GRPEL1, GRSF1, GSTCD, GUCY1A3, GUCY1B3, GUF1, HADH, HERC3, HERC5, HMGB2, HNRNPD, HNRNPDL, IL8, INTS12, IRF2, JADE1, KLHL2, LAP3, LARP7, LCORL, LEF1, LIN54, LSM6, MAD2L1, MAML3, MAN2B2, MANBA, MED28, METAP1, MMAA, MND1, MOB1B, MRPS18C, MSMO1, MTHFD2L, MTTP, NAA15, NAF1, NEK1, NEUROG2, NFKB1, NOA1, OSTC, OTUD4, PAICS, PAPSS1, PDE5A, PI4K2B, PIGY, PLA2G12A, PLRG1, POLR2B, PPA2, PPAT, PPID, PRIMPOL, PYURF, QDPR, RCHY1, REST, RPL34, SEC24B, SEC31A, SEPSECS, SMARCA5, SMARCAD1, SPATA5, SPCS3, SRD5A3, SRP72, TBCK, TET2, THAP9, TMEM165, TMPRSS11D, TNIP2, UBA6, UBE2D3, USP38, YTHDC1, ZNF518B, ZNF827"
Blood cell pcHi-C,DegSupport 14 (log link count) vs Links w/ 2+ tissue,chr4,GO:0008152,BP,e,metabolic process             ,125/208,289/601,2.46e-05,1,125,0.0269,"AASDH, ABCE1, ABCG2, ADD1, ADH5, AGA, AIMP1, ANAPC10, ANAPC4, BBS12, BDH2, CASP3, CASP6, CBR4, CCRN4L, CDKL2, CFI, CISD2, COPS4, COQ2, CPE, CYP2U1, DAPP1, DCAF16, DCK, DHX15, EIF4E, ELF2, ELOVL6, ENOPH1, ENPEP, ETFDH, EXOC1, FABP2, FBXL5, FBXO8, FIP1L1, FNIP2, GALNT7, GAR1, GNPDA2, GRPEL1, GRSF1, GSTCD, GUCY1A3, GUCY1B3, GUF1, HADH, HERC3, HERC5, HMGB2, HNRNPD, HNRNPDL, IL8, INTS12, IRF2, JADE1, KLHL2, LAP3, LARP7, LCORL, LEF1, LIN54, LSM6, MAD2L1, MAML3, MAN2B2, MANBA, MED28, METAP1, MMAA, MND1, MOB1B, MRPS18C, MSMO1, MTHFD2L, MTTP, NAA15, NAF1, NDUFC1, NEK1, NEUROG2, NFKB1, NOA1, OSTC, OTUD4, PAICS, PAPSS1, PDE5A, PI4K2B, PIGY, PLA2G12A, PLRG1, POLR2B, PPA2, PPAT, PPID, PRIMPOL, PYURF, QDPR, RAB33B, RCHY1, REST, RPL34, SEC24B, SEC31A, SEPSECS, SMARCA5, SMARCAD1, SPATA5, SPCS3, SRD5A3, SRP72, TBCK, TET2, THAP9, TMEM165, TMPRSS11D, TNIP2, UBA6, UBE2D3, USP38, YTHDC1, ZNF518B, ZNF827"
Blood cell pcHi-C,DegSupport 14 (log link count) vs Links w/ 2+ tissue,chr4,GO:0006397,BP,e,mRNA processing               ,9/208,9/601,6.35e-05,8,9,0.0495,"CCRN4L, DHX15, FIP1L1, GRSF1, HNRNPD, LSM6, PLRG1, POLR2B, YTHDC1"
Blood cell pcHi-C,DegSupport 15 (log link count) vs Links w/ 2+ tissue,chr5,GO:0007156,BP,e,homophilic cell adhesion via plasma membrane adhesion molecules,42/255,59/779,3.65e-10,5,42,2.26e-06,"PCDH1, PCDH12, PCDHA1, PCDHA10, PCDHA2, PCDHA3, PCDHA4, PCDHA5, PCDHA6, PCDHA7, PCDHA8, PCDHA9, PCDHB1, PCDHB10, PCDHB11, PCDHB14, PCDHB15, PCDHB16, PCDHB17, PCDHB2, PCDHB3, PCDHB5, PCDHB6, PCDHB7, PCDHB8, PCDHGA1, PCDHGA10, PCDHGA11, PCDHGA2, PCDHGA3, PCDHGA4, PCDHGA5, PCDHGA6, PCDHGA7, PCDHGA8, PCDHGA9, PCDHGB1, PCDHGB2, PCDHGB3, PCDHGB4, PCDHGB6, PCDHGB7"
Blood cell pcHi-C,DegSupport 15 (log link count) vs Links w/ 2+ tissue,chr5,GO:0098742,BP,e,cell-cell adhesion via plasma-membrane adhesion molecules,42/255,60/779,1.3e-09,4,42,4.01e-06,"PCDH1, PCDH12, PCDHA1, PCDHA10, PCDHA2, PCDHA3, PCDHA4, PCDHA5, PCDHA6, PCDHA7, PCDHA8, PCDHA9, PCDHB1, PCDHB10, PCDHB11, PCDHB14, PCDHB15, PCDHB16, PCDHB17, PCDHB2, PCDHB3, PCDHB5, PCDHB6, PCDHB7, PCDHB8, PCDHGA1, PCDHGA10, PCDHGA11, PCDHGA2, PCDHGA3, PCDHGA4, PCDHGA5, PCDHGA6, PCDHGA7, PCDHGA8, PCDHGA9, PCDHGB1, PCDHGB2, PCDHGB3, PCDHGB4, PCDHGB6, PCDHGB7"
Blood cell pcHi-C,DegSupport 15 (log link count) vs Links w/ 2+ tissue,chr5,GO:0098609,BP,e,cell-cell adhesion            ,45/255,70/779,1.53e-08,3,45,3.16e-05,"CYFIP2, GOLPH3, GPR98, PCDH1, PCDH12, PCDHA1, PCDHA10, PCDHA2, PCDHA3, PCDHA4, PCDHA5, PCDHA6, PCDHA7, PCDHA8, PCDHA9, PCDHB1, PCDHB10, PCDHB11, PCDHB14, PCDHB15, PCDHB16, PCDHB17, PCDHB2, PCDHB3, PCDHB5, PCDHB6, PCDHB7, PCDHB8, PCDHGA1, PCDHGA10, PCDHGA11, PCDHGA2, PCDHGA3, PCDHGA4, PCDHGA5, PCDHGA6, PCDHGA7, PCDHGA8, PCDHGA9, PCDHGB1, PCDHGB2, PCDHGB3, PCDHGB4, PCDHGB6, PCDHGB7"
Blood cell pcHi-C,DegSupport 15 (log link count) vs Links w/ 2+ tissue,chr5,GO:0007155,BP,e,cell adhesion                 ,51/255,84/779,2.7e-08,2,51,4.17e-05,"APC, CYFIP2, EMB, ERBB2IP, GOLPH3, GPR98, ITGA1, PCDH1, PCDH12, PCDHA1, PCDHA10, PCDHA2, PCDHA3, PCDHA4, PCDHA5, PCDHA6, PCDHA7, PCDHA8, PCDHA9, PCDHB1, PCDHB10, PCDHB11, PCDHB14, PCDHB15, PCDHB16, PCDHB17, PCDHB2, PCDHB3, PCDHB5, PCDHB6, PCDHB7, PCDHB8, PCDHGA1, PCDHGA10, PCDHGA11, PCDHGA2, PCDHGA3, PCDHGA4, PCDHGA5, PCDHGA6, PCDHGA7, PCDHGA8, PCDHGA9, PCDHGB1, PCDHGB2, PCDHGB3, PCDHGB4, PCDHGB6, PCDHGB7, RGMB, VCAN"
