DS,What,chr,GO,NS,enrichment,name,ratio_in_study,ratio_in_pop,p_uncorrected,depth,study_count,p_fdr_bh,study_items
Blood cell pcHi-C,Cycles C3 w/ 1+ tissue vs Links w/ 1+ tissue,chr2,GO:0090304,BP,e,nucleic acid metabolic process,186/947,198/1120,1.89E-05,5,186,0.0111,"APLF, ARID5A, ATF2, ATOH8, BARD1, BAZ2B, BCL11A, BMPR2, BRE, BZW1, C1D, CARF, CCDC88A, CCNT2, CDCA7, CEBPZ, CIR1, CNNM3, CNOT11, CPSF3, CWC22, DARS, DDX1, DIS3L2, DPY30, DUSP11, E2F6, EGR4, EIF2AK2, EPAS1, EPC2, ERBB4, ERCC3, FANCL, FARSB, FEV, FHL2, FIGLA, FOSL2, FOXN2, GBX2, GCFC2, GEMIN6, GEN1, GRHL1, GTF3C2, GTF3C3, HDAC4, HES6, HNRNPA3, HNRNPLL, HOXD1, HOXD10, HOXD11, HOXD12, HOXD13, HOXD3, HOXD4, HOXD8, HOXD9, HSPD1, IKZF2, IMP4, ING5, INO80B, INO80D, ITGB1BP1, IWS1, KCNIP3, KDM3A, KLF11, KLF7, LBH, LBX2, LPIN1, LRPPRC, LRRFIP1, M1AP, MARS2, MCM6, METTL5, MPHOSPH10, MRPL44, MSH2, MSH6, MXD1, MYT1L, NAB1, NABP1, NCOA1, NFE2L2, NHEJ1, NIFK, NMI, NOP58, NOTO, NPAS2, NR4A2, NRBP1, ORC2, ORC4, OSGEPL1, OSR1, PAPOLG, PAX3, PAX8, PCBP1, PCGF1, PER2, PGAP1, PMS1, PNPT1, POLR1A, POLR1B, POLR2D, POU3F3, PPIG, PPIL3, PREB, PRKRA, PRPF40A, PSMD1, PSMD14, PSME4, PTMA, PUS10, RBMS1, REL, REV1, RFX8, RNASEH1, RPL31, RPL37A, RPS27A, RPS7, RQCD1, RRM2, SAP130, SATB2, SERTAD2, SF3B1, SF3B14, SMARCAL1, SMC6, SMYD1, SNRNP200, SNRNP27, SNRPG, SP100, SP110, SP5, SP9, SPAST, SRSF7, SSB, STAT1, STAT4, STON1-GTF2A1L, SUMO1, SUPT7L, TAF1B, TBR1, TCF7L1, TET3, TLX2, TMEM18, TPRKB, TRIP12, TSN, TYW5, USP39, VAX2, WDR12, WDR33, XPO1, XRCC5, ZC3H8, ZEB2, ZFP36L2, ZNF142, ZNF2, ZNF512, ZNF513, ZNF514, ZNF638, ZRANB3"
Blood cell pcHi-C,Cycles C3 w/ 1+ tissue vs Links w/ 1+ tissue,chr2,GO:0006139,BP,e,nucleobase-containing compound metabolic process,220/947,237/1120,2.92E-05,4,220,0.0137,"APLF, ARID5A, ATF2, ATIC, ATOH8, ATP5G3, ATP6V1B1, BARD1, BAZ2B, BCL11A, BMPR2, BRE, BZW1, C1D, CACNB4, CAD, CALCRL, CARF, CCDC88A, CCNT2, CDCA7, CEBPZ, CIR1, CMPK2, CNNM3, CNOT11, CPSF3, CWC22, DARS, DDX1, DGUOK, DIS3L2, DPY30, DPYSL5, DUSP11, E2F6, EGR4, EIF2AK2, EPAS1, EPC2, ERBB4, ERCC3, FANCL, FARSB, FEV, FHL2, FIGLA, FOSL2, FOXN2, GBX2, GCFC2, GEMIN6, GEN1, GFPT1, GMPPA, GRHL1, GTF3C2, GTF3C3, HAAO, HDAC4, HES6, HK2, HNRNPA3, HNRNPLL, HOXD1, HOXD10, HOXD11, HOXD12, HOXD13, HOXD3, HOXD4, HOXD8, HOXD9, HSPD1, HTR2B, IDH1, IKZF2, IMP4, ING5, INO80B, INO80D, ITGB1BP1, IWS1, KCNIP3, KDM3A, KLF11, KLF7, KYNU, LBH, LBX2, LPIN1, LRPPRC, LRRFIP1, M1AP, MARS2, MCEE, MCM6, MDH1, METTL5, MPHOSPH10, MRPL44, MSH2, MSH6, MXD1, MYT1L, NAB1, NABP1, NCOA1, NDUFA10, NDUFS1, NFE2L2, NHEJ1, NIFK, NMI, NOP58, NOTO, NPAS2, NPPC, NR4A2, NRBP1, NT5C1B, NT5C1B-RDH14, ORC2, ORC4, OSGEPL1, OSR1, PAPOLG, PAX3, PAX8, PCBP1, PCGF1, PDE11A, PER2, PGAP1, PMS1, PNPT1, POLR1A, POLR1B, POLR2D, POU3F3, PPIG, PPIL3, PREB, PRKRA, PRPF40A, PSMD1, PSMD14, PSME4, PTMA, PUS10, RBMS1, REL, REV1, RFX8, RNASEH1, RPE, RPIA, RPL31, RPL37A, RPS27A, RPS7, RQCD1, RRM2, SAP130, SATB2, SERTAD2, SF3B1, SF3B14, SMARCAL1, SMC6, SMYD1, SNRNP200, SNRNP27, SNRPG, SP100, SP110, SP5, SP9, SPAST, SRBD1, SRSF7, SSB, STAT1, STAT4, STON1-GTF2A1L, SUCLG1, SULT1C2, SUMO1, SUPT7L, TAF1B, TBR1, TCF7L1, TET3, TLX2, TMEM18, TP53I3, TPRKB, TRIP12, TSN, TYW5, UGGT1, UGP2, UPP2, USP39, UXS1, VAX2, WDR12, WDR33, XPO1, XRCC5, ZC3H8, ZEB2, ZFP36L2, ZNF142, ZNF2, ZNF512, ZNF513, ZNF514, ZNF638, ZRANB3"
Blood cell pcHi-C,Cycles C3 w/ 1+ tissue vs Links w/ 1+ tissue,chr2,GO:0016070,BP,e,RNA metabolic process         ,160/947,170/1120,7.27E-05,6,160,0.0311,"ARID5A, ATF2, ATOH8, BAZ2B, BCL11A, BMPR2, BZW1, C1D, CARF, CCNT2, CDCA7, CEBPZ, CIR1, CNNM3, CNOT11, CPSF3, CWC22, DARS, DDX1, DIS3L2, DPY30, DUSP11, E2F6, EGR4, EIF2AK2, EPAS1, EPC2, ERBB4, ERCC3, FARSB, FEV, FHL2, FIGLA, FOSL2, FOXN2, GBX2, GCFC2, GEMIN6, GRHL1, GTF3C2, GTF3C3, HDAC4, HES6, HNRNPA3, HNRNPLL, HOXD1, HOXD10, HOXD11, HOXD12, HOXD13, HOXD3, HOXD4, HOXD8, HOXD9, IKZF2, IMP4, ING5, INO80B, INO80D, ITGB1BP1, IWS1, KCNIP3, KDM3A, KLF11, KLF7, LBH, LBX2, LPIN1, LRPPRC, LRRFIP1, M1AP, MARS2, METTL5, MPHOSPH10, MRPL44, MXD1, MYT1L, NAB1, NCOA1, NFE2L2, NIFK, NMI, NOP58, NOTO, NPAS2, NR4A2, NRBP1, OSGEPL1, OSR1, PAPOLG, PAX3, PAX8, PCBP1, PCGF1, PER2, PNPT1, POLR1A, POLR1B, POLR2D, POU3F3, PPIG, PPIL3, PREB, PRKRA, PRPF40A, PSMD1, PSMD14, PSME4, PTMA, PUS10, RBMS1, REL, RFX8, RNASEH1, RPL31, RPL37A, RPS27A, RPS7, RQCD1, SAP130, SATB2, SERTAD2, SF3B1, SF3B14, SMYD1, SNRNP200, SNRNP27, SNRPG, SP100, SP110, SP5, SP9, SRSF7, SSB, STAT1, STAT4, STON1-GTF2A1L, SUPT7L, TAF1B, TBR1, TCF7L1, TLX2, TMEM18, TPRKB, TYW5, USP39, VAX2, WDR12, WDR33, XPO1, XRCC5, ZC3H8, ZEB2, ZFP36L2, ZNF142, ZNF2, ZNF512, ZNF513, ZNF514, ZNF638"
Blood cell pcHi-C,Cycles C3 w/ 1+ tissue vs Links w/ 1+ tissue,chr2,GO:0043170,BP,e,macromolecule metabolic process,364/947,404/1120,9.87E-05,3,364,0.0348,"AAK1, ABI2, ACVR1, ACVR1C, ACVR2A, ADAM17, AGBL5, ALK, ALS2, APLF, APOB, ARID5A, ASB1, ASB3, ASPRV1, ASTL, ATF2, ATG4B, ATOH8, B3GNT2, B3GNT7, BARD1, BAZ2B, BCL11A, BIRC6, BMP10, BMPR2, BRE, BUB1, BZW1, C1D, C2orf40, CAD, CALM2, CAPN14, CARF, CASP10, CASP8, CCDC88A, CCNT2, CCT4, CCT7, CD28, CDCA7, CDK15, CDKL4, CEBPZ, CFLAR, CHPF, CIR1, CLK1, CNNM3, CNOT11, COL3A1, COPS7B, COPS8, CPS1, CPSF3, CREB1, CTDSP1, CUL3, CWC22, DARS, DCAF17, DCTN1, DDX1, DGUOK, DIS3L2, DNAJB2, DNAJC10, DNER, DNPEP, DPP4, DPY30, DUSP11, DUSP19, DUSP2, E2F6, ECEL1, EEF1B2, EGR4, EIF2AK2, EIF2AK3, EIF2B4, EPAS1, EPC2, EPHA4, ERBB4, ERCC3, ERLEC1, FANCL, FARSB, FBXO11, FEV, FHL2, FIGLA, FKBP1B, FKBP7, FN1, FOSL2, FOXN2, GAD1, GALNT3, GALNT5, GBX2, GCFC2, GCG, GDF7, GEMIN6, GEN1, GFPT1, GGCX, GIGYF2, GMPPA, GPR75-ASB3, GRHL1, GTF3C2, GTF3C3, HAT1, HDAC4, HECW2, HES6, HNRNPA3, HNRNPLL, HOXD1, HOXD10, HOXD11, HOXD12, HOXD13, HOXD3, HOXD4, HOXD8, HOXD9, HS6ST1, HSPD1, HTRA2, IFIH1, IFT172, IGFBP2, IGFBP5, IHH, IKZF2, IL1B, ILKAP, IMP4, ING5, INHA, INO80B, INO80D, ITGB1BP1, IWS1, KANSL3, KCNIP3, KDM3A, KLF11, KLF7, KLHL41, LBH, LBX2, LIPT1, LPIN1, LRPPRC, LRRFIP1, M1AP, MAP2, MAP3K19, MAP3K2, MAP4K3, MAP4K4, MARCH7, MARS2, MCFD2, MCM6, MERTK, METAP1D, METTL21A, METTL5, METTL8, MGAT4A, MGAT5, MOGS, MPHOSPH10, MRPL19, MRPL33, MRPL35, MRPL44, MRPS5, MRPS9, MSH2, MSH6, MTX2, MXD1, MYO3B, MYT1L, NAB1, NABP1, NCOA1, NFE2L2, NHEJ1, NIFK, NLRC4, NMI, NOP58, NOTO, NPAS2, NR4A2, NRBP1, ORC2, ORC4, OSGEPL1, OSR1, PAPOLG, PAX3, PAX8, PCBP1, PCGF1, PCYOX1, PDIA6, PDK1, PELI1, PER2, PGAP1, PIGF, PIKFYVE, PKDCC, PMS1, PNPT1, POLE4, POLR1A, POLR1B, POLR2D, POU3F3, PPIG, PPIL3, PPM1B, PPM1G, PPP1CB, PREB, PREPL, PRKAG3, PRKCE, PRKD3, PRKRA, PROC, PRPF40A, PSMD1, PSMD14, PSME4, PTCD3, PTMA, PTPN18, PTPN4, PTPRN, PUS10, QPCT, RAB1A, RANBP2, RBMS1, REL, REV1, RFX8, RHBDD1, RNASEH1, RNF103, RNF144A, RNF149, RNF181, RNF25, ROCK2, RPL31, RPL37A, RPS27A, RPS7, RQCD1, RRM2, SAP130, SATB2, SCRN3, SDC1, SERTAD2, SF3B1, SF3B14, SLC11A1, SLC30A6, SMARCAL1, SMC6, SMEK2, SMYD1, SNRNP200, SNRNP27, SNRPG, SOCS5, SP100, SP110, SP5, SP9, SPAST, SPEG, SPOPL, SPTBN1, SRSF7, SSB, ST3GAL5, STAMBP, STAT1, STAT4, STK16, STK17B, STK25, STK36, STK39, STON1-GTF2A1L, STRADB, SUMO1, SUPT7L, TAF1B, TBR1, TCF7L1, TET3, TFPI, TLK1, TLX2, TMEM18, TPRKB, TRABD2A, TRAK2, TRIB2, TRIP12, TSN, TTL, TTLL4, TTN, TUBA3D, TUBA4A, TYW5, UBE2E3, UBE2F, UBR3, UGGT1, UGP2, USP34, USP37, USP39, UXS1, VAX2, VRK2, WDR12, WDR33, WDR92, WDSUB1, XPO1, XRCC5, ZAP70, ZC3H8, ZEB2, ZFP36L2, ZNF142, ZNF2, ZNF512, ZNF513, ZNF514, ZNF638, ZRANB3, ZSWIM2"
Blood cell pcHi-C,Cycles C3 w/ 1+ tissue vs Links w/ 1+ tissue,chr4,GO:0034641,BP,e,cellular nitrogen compound metabolic process,117/472,135/643,4.64E-05,3,117,0.0435,"AADAT, ABCE1, ABCG2, ABLIM2, AC068620.1, ACSL1, AIMP1, BDH2, CASP3, CCRN4L, CENPU, CNOT6L, CTBP1, DCK, DCTD, DHX15, EGF, EIF4E, ELF2, ELOVL6, ENOPH1, EREG, EXOSC9, FAM175A, FIP1L1, FRYL, GAR1, GRSF1, GSTCD, GSX2, GUCY1A3, GUCY1B3, GUF1, HMGB2, HNRNPD, HNRNPDL, HOPX, HTT, ING2, INTS12, IRF2, KLF3, LARP7, LCORL, LEF1, LIN54, LSM6, MAML3, MED28, METTL14, MGST2, MMAA, MND1, MRPL1, MRPS18C, MTHFD2L, MXD4, NAA15, NAF1, NEIL3, NEUROG2, NFKB1, NKX3-2, NKX6-1, NOA1, NOP14, NR3C2, NUDT9, PAICS, PAPSS1, PCGF3, PDE5A, PET112, PITX2, PLRG1, POLR2B, PPA2, PPAT, PRDM5, PRDM8, PRIMPOL, PTTG2, QDPR, RBPJ, RFC1, RGS12, RNF212, RPL34, RPL9, RPS3A, SAP30, SEPSECS, SETD7, SGMS2, SLC26A1, SLC2A9, SLC30A9, SMAD1, SMARCA5, SMARCAD1, SNCA, SPATA5, SPCS3, SRP72, SULT1B1, TADA2B, TET2, THAP9, TNIP2, TXK, UBE2D3, UGT8, UVSSA, YTHDC1, ZBTB49, ZNF518B, ZNF827"
Blood cell pcHi-C,Cycles C3 w/ 1+ tissue vs Links w/ 1+ tissue,chr4,GO:0043229,CC,e,intracellular organelle       ,257/472,311/643,3.02E-07,3,257,0.000734,"AADAT, ABCE1, ABLIM2, AC068620.1, ACOX3, ACSL1, ADD1, ADH5, AFAP1, AFF1, AGA, AGPAT9, AIMP1, ANAPC4, ANK2, ANKRD17, ANKRD37, ANXA3, AP1AR, APBB2, ATP10D, ATP8A1, BMP2K, C4orf27, CASP3, CASP6, CBR4, CCDC109B, CCDC110, CCNA2, CCRN4L, CD38, CDKL2, CDKN2AIP, CDS1, CENPC, CENPE, CENPU, CEP135, CHIC2, CISD2, CLCN3, CLOCK, CNOT6L, COPS4, COQ2, COX18, CPE, CPEB2, CTBP1, CTSO, CXXC4, DCK, DCLK2, DCUN1D4, DHX15, DMP1, EIF4E, ELF2, ELMOD2, ELOVL6, ENOPH1, ENPEP, ETFDH, ETNPPL, EXOSC9, FAM175A, FAM198B, FAM200B, FBXO8, FBXW7, FGB, FGG, FIP1L1, FNIP2, GAK, GRIA2, GRPEL1, GRSF1, GSX2, GUCY1B3, GUF1, H2AFZ, HADH, HAND2, HELQ, HERC3, HERC5, HERC6, HGFAC, HMGB2, HNRNPD, HNRNPDL, HOPX, HPGD, HPSE, HSD17B11, HSPA4L, HTT, IDUA, IL15, ING2, INPP4B, IRF2, JADE1, KIAA1109, KLF3, KLHL2, KLHL5, LAP3, LARP7, LCORL, LDB2, LEF1, LIAS, LRAT, LRBA, LYAR, MAD2L1, MAEA, MAML3, MAN2B2, MANBA, MAP9, MAPK10, MARCH1, MED28, METTL14, MFSD8, MGARP, MGST2, MND1, MOB1B, MRFAP1, MRPL1, MRPS18C, MSMO1, MTHFD2L, MTTP, MXD4, MYOZ2, NAA15, NAAA, NAF1, NCAPG, NDUFC1, NEIL3, NEK1, NEUROG2, NFKB1, NFXL1, NKX3-2, NKX6-1, NOA1, NOP14, NR3C2, NUDT6, NUDT9, PALLD, PAQR3, PCGF3, PDGFC, PDGFRA, PDLIM5, PDS5A, PET112, PITX2, PKD2, PLA2G12A, PLK4, PLRG1, POLR2B, POU4F2, PPA2, PPID, PPM1K, PPP3CA, PRDM5, PRDM8, PRIMPOL, PRSS12, PTPN13, PTTG2, PYURF, QDPR, RAB28, RAB33B, RAPGEF2, RASGEF1B, RBM47, RBPJ, RCHY1, RELL1, REST, RFC1, RGS12, RHOH, RPL34, RPL9, RPS3A, S100P, SAP30, SCARB2, SCLT1, SCOC, SDAD1, SEC31A, SEPSECS, SETD7, SGCB, SGMS2, SH3D19, SHROOM3, SLAIN2, SLC25A31, SLC25A4, SLC30A9, SLC7A11, SMAD1, SMARCA5, SMARCAD1, SNCA, SOD3, SORBS2, SPATA18, SPATA5, SPCS3, SPINK2, SRD5A3, SRP72, STAP1, STIM2, STX18, SYNPO2, TBC1D1, TBC1D14, TEC, THAP6, TIGD2, TIGD4, TMEM165, TMEM192, TMEM33, TNIP2, TRAPPC11, TXK, UCHL1, UFSP2, UTP3, UVSSA, WDFY3, WDR1, YTHDC1, ZBTB49, ZNF330, ZNF518B, ZNF827"
Blood cell pcHi-C,Cycles C3 w/ 1+ tissue vs Links w/ 1+ tissue,chr4,GO:0043231,CC,e,intracellular membrane-bounded organelle,232/472,278/643,3.92E-07,4,232,0.000734,"AADAT, ABCE1, ABLIM2, AC068620.1, ACOX3, ACSL1, ADD1, ADH5, AFF1, AGA, AGPAT9, AIMP1, ANAPC4, ANKRD17, ANKRD37, ANXA3, AP1AR, APBB2, ATP10D, ATP8A1, BMP2K, C4orf27, CASP3, CASP6, CBR4, CCDC109B, CCDC110, CCNA2, CCRN4L, CD38, CDKL2, CDKN2AIP, CDS1, CENPC, CENPE, CENPU, CHIC2, CISD2, CLCN3, CLOCK, CNOT6L, COPS4, COQ2, COX18, CPE, CPEB2, CTBP1, CTSO, CXXC4, DCK, DCUN1D4, DHX15, DMP1, ELF2, ELOVL6, ENOPH1, ENPEP, ETFDH, ETNPPL, EXOSC9, FAM175A, FAM198B, FAM200B, FBXO8, FBXW7, FGB, FGG, FIP1L1, FNIP2, GAK, GRIA2, GRPEL1, GRSF1, GSX2, GUCY1B3, GUF1, H2AFZ, HADH, HAND2, HELQ, HERC3, HERC5, HERC6, HGFAC, HMGB2, HNRNPD, HNRNPDL, HOPX, HPGD, HPSE, HSPA4L, HTT, IDUA, IL15, ING2, INPP4B, IRF2, JADE1, KIAA1109, KLF3, LAP3, LARP7, LCORL, LDB2, LEF1, LIAS, LRAT, LRBA, MAD2L1, MAEA, MAML3, MAN2B2, MANBA, MAP9, MAPK10, MARCH1, MED28, METTL14, MFSD8, MGARP, MGST2, MND1, MOB1B, MRFAP1, MRPL1, MRPS18C, MSMO1, MTHFD2L, MTTP, MXD4, NAA15, NAAA, NAF1, NCAPG, NDUFC1, NEIL3, NEK1, NEUROG2, NFKB1, NFXL1, NKX3-2, NKX6-1, NOA1, NOP14, NR3C2, NUDT6, NUDT9, PALLD, PAQR3, PCGF3, PDGFC, PDGFRA, PDS5A, PET112, PITX2, PKD2, PLA2G12A, PLRG1, POLR2B, POU4F2, PPA2, PPID, PPM1K, PPP3CA, PRDM5, PRDM8, PRIMPOL, PRSS12, PTPN13, PTTG2, PYURF, QDPR, RAB28, RAB33B, RAPGEF2, RASGEF1B, RBM47, RBPJ, RCHY1, REST, RFC1, RHOH, RPS3A, S100P, SAP30, SCARB2, SCOC, SDAD1, SEC31A, SEPSECS, SETD7, SGMS2, SH3D19, SLC25A31, SLC25A4, SLC30A9, SLC7A11, SMAD1, SMARCA5, SMARCAD1, SNCA, SOD3, SORBS2, SPATA18, SPATA5, SPCS3, SPINK2, SRD5A3, SRP72, STAP1, STIM2, STX18, SYNPO2, TBC1D1, TBC1D14, TIGD2, TIGD4, TMEM165, TMEM192, TMEM33, TNIP2, TRAPPC11, TXK, UCHL1, UFSP2, UTP3, WDFY3, YTHDC1, ZBTB49, ZNF330, ZNF518B, ZNF827"
Blood cell pcHi-C,Cycles C3 w/ 1+ tissue vs Links w/ 1+ tissue,chr4,GO:0043226,CC,e,organelle                     ,260/472,319/643,4.74E-06,2,260,0.00667,"AADAT, ABCE1, ABLIM2, AC068620.1, ACOX3, ACSL1, ADD1, ADH5, AFAP1, AFF1, AGA, AGPAT9, AIMP1, ANAPC4, ANK2, ANKRD17, ANKRD37, ANXA3, ANXA5, AP1AR, APBB2, ATP10D, ATP8A1, BBS12, BMP2K, C4orf27, CASP3, CASP6, CBR4, CCDC109B, CCDC110, CCNA2, CCRN4L, CD38, CDKL2, CDKN2AIP, CDS1, CENPC, CENPE, CENPU, CEP135, CHIC2, CISD2, CLCN3, CLOCK, CNOT6L, COPS4, COQ2, COX18, CPE, CPEB2, CTBP1, CTSO, CXXC4, DCK, DCLK2, DCUN1D4, DHX15, DMP1, EIF4E, ELF2, ELMOD2, ELOVL6, ENOPH1, ENPEP, ETFDH, ETNPPL, EXOSC9, FAM175A, FAM198B, FAM200B, FBXO8, FBXW7, FGB, FGG, FIP1L1, FNIP2, GAK, GRIA2, GRPEL1, GRSF1, GSX2, GUCY1B3, GUF1, H2AFZ, HADH, HAND2, HELQ, HERC3, HERC5, HERC6, HGFAC, HMGB2, HNRNPD, HNRNPDL, HOPX, HPGD, HPSE, HSD17B11, HSPA4L, HTT, IDUA, IL15, ING2, INPP4B, IRF2, JADE1, KIAA1109, KLF3, KLHL2, KLHL5, LAP3, LARP7, LCORL, LDB2, LEF1, LIAS, LRAT, LRBA, LYAR, MAD2L1, MAEA, MAML3, MAN2B2, MANBA, MAP9, MAPK10, MARCH1, MED28, METTL14, MFSD8, MGARP, MGST2, MND1, MOB1B, MRFAP1, MRPL1, MRPS18C, MSMO1, MTHFD2L, MTTP, MXD4, MYOZ2, NAA15, NAAA, NAF1, NCAPG, NDUFC1, NEIL3, NEK1, NEUROG2, NFKB1, NFXL1, NKX3-2, NKX6-1, NOA1, NOP14, NR3C2, NUDT6, NUDT9, PALLD, PAQR3, PCGF3, PDGFC, PDGFRA, PDLIM5, PDS5A, PET112, PITX2, PKD2, PLA2G12A, PLK4, PLRG1, POLR2B, POU4F2, PPA2, PPID, PPM1K, PPP3CA, PRDM5, PRDM8, PRIMPOL, PRSS12, PTPN13, PTTG2, PYURF, QDPR, RAB28, RAB33B, RAPGEF2, RASGEF1B, RBM47, RBPJ, RCHY1, RELL1, REST, RFC1, RGS12, RHOH, RPL34, RPL9, RPS3A, S100P, SAP30, SCARB2, SCLT1, SCOC, SDAD1, SEC31A, SEPSECS, SETD7, SGCB, SGMS2, SH3D19, SHROOM3, SLAIN2, SLC25A31, SLC25A4, SLC30A9, SLC7A11, SMAD1, SMARCA5, SMARCAD1, SNCA, SOD3, SORBS2, SPATA18, SPATA5, SPCS3, SPINK2, SPP1, SRD5A3, SRP72, STAP1, STIM2, STX18, SYNPO2, TBC1D1, TBC1D14, TEC, THAP6, TIGD2, TIGD4, TMEM165, TMEM192, TMEM33, TNIP2, TRAPPC11, TXK, UCHL1, UFSP2, UTP3, UVSSA, WDFY3, WDR1, YTHDC1, ZBTB49, ZNF330, ZNF518B, ZNF827"
Blood cell pcHi-C,Cycles C3 w/ 1+ tissue vs Links w/ 1+ tissue,chr4,GO:0043227,CC,e,membrane-bounded organelle    ,235/472,286/643,6.51E-06,3,235,0.00732,"AADAT, ABCE1, ABLIM2, AC068620.1, ACOX3, ACSL1, ADD1, ADH5, AFF1, AGA, AGPAT9, AIMP1, ANAPC4, ANKRD17, ANKRD37, ANXA3, ANXA5, AP1AR, APBB2, ATP10D, ATP8A1, BBS12, BMP2K, C4orf27, CASP3, CASP6, CBR4, CCDC109B, CCDC110, CCNA2, CCRN4L, CD38, CDKL2, CDKN2AIP, CDS1, CENPC, CENPE, CENPU, CHIC2, CISD2, CLCN3, CLOCK, CNOT6L, COPS4, COQ2, COX18, CPE, CPEB2, CTBP1, CTSO, CXXC4, DCK, DCUN1D4, DHX15, DMP1, ELF2, ELOVL6, ENOPH1, ENPEP, ETFDH, ETNPPL, EXOSC9, FAM175A, FAM198B, FAM200B, FBXO8, FBXW7, FGB, FGG, FIP1L1, FNIP2, GAK, GRIA2, GRPEL1, GRSF1, GSX2, GUCY1B3, GUF1, H2AFZ, HADH, HAND2, HELQ, HERC3, HERC5, HERC6, HGFAC, HMGB2, HNRNPD, HNRNPDL, HOPX, HPGD, HPSE, HSPA4L, HTT, IDUA, IL15, ING2, INPP4B, IRF2, JADE1, KIAA1109, KLF3, LAP3, LARP7, LCORL, LDB2, LEF1, LIAS, LRAT, LRBA, MAD2L1, MAEA, MAML3, MAN2B2, MANBA, MAP9, MAPK10, MARCH1, MED28, METTL14, MFSD8, MGARP, MGST2, MND1, MOB1B, MRFAP1, MRPL1, MRPS18C, MSMO1, MTHFD2L, MTTP, MXD4, NAA15, NAAA, NAF1, NCAPG, NDUFC1, NEIL3, NEK1, NEUROG2, NFKB1, NFXL1, NKX3-2, NKX6-1, NOA1, NOP14, NR3C2, NUDT6, NUDT9, PALLD, PAQR3, PCGF3, PDGFC, PDGFRA, PDS5A, PET112, PITX2, PKD2, PLA2G12A, PLRG1, POLR2B, POU4F2, PPA2, PPID, PPM1K, PPP3CA, PRDM5, PRDM8, PRIMPOL, PRSS12, PTPN13, PTTG2, PYURF, QDPR, RAB28, RAB33B, RAPGEF2, RASGEF1B, RBM47, RBPJ, RCHY1, REST, RFC1, RHOH, RPS3A, S100P, SAP30, SCARB2, SCOC, SDAD1, SEC31A, SEPSECS, SETD7, SGMS2, SH3D19, SLC25A31, SLC25A4, SLC30A9, SLC7A11, SMAD1, SMARCA5, SMARCAD1, SNCA, SOD3, SORBS2, SPATA18, SPATA5, SPCS3, SPINK2, SPP1, SRD5A3, SRP72, STAP1, STIM2, STX18, SYNPO2, TBC1D1, TBC1D14, TIGD2, TIGD4, TMEM165, TMEM192, TMEM33, TNIP2, TRAPPC11, TXK, UCHL1, UFSP2, UTP3, WDFY3, YTHDC1, ZBTB49, ZNF330, ZNF518B, ZNF827"
Blood cell pcHi-C,Cycles C3 w/ 1+ tissue vs Links w/ 1+ tissue,chr6,GO:0006338,BP,e,chromatin remodeling          ,69/775,69/953,5.10E-07,5,69,0.00239,"ARID1B, ASF1A, BRD2, CENPQ, CENPW, ESR1, HDAC2, HIST1H1A, HIST1H1B, HIST1H1C, HIST1H1D, HIST1H1E, HIST1H1T, HIST1H2AA, HIST1H2AB, HIST1H2AC, HIST1H2AD, HIST1H2AE, HIST1H2AG, HIST1H2AH, HIST1H2AI, HIST1H2AJ, HIST1H2AK, HIST1H2AL, HIST1H2AM, HIST1H2BA, HIST1H2BB, HIST1H2BC, HIST1H2BD, HIST1H2BE, HIST1H2BF, HIST1H2BG, HIST1H2BH, HIST1H2BI, HIST1H2BJ, HIST1H2BK, HIST1H2BL, HIST1H2BM, HIST1H2BN, HIST1H2BO, HIST1H3A, HIST1H3B, HIST1H3C, HIST1H3D, HIST1H3E, HIST1H3F, HIST1H3G, HIST1H3H, HIST1H3I, HIST1H3J, HIST1H4A, HIST1H4B, HIST1H4C, HIST1H4D, HIST1H4E, HIST1H4F, HIST1H4G, HIST1H4H, HIST1H4I, HIST1H4J, HIST1H4K, HIST1H4L, HMGA1, MYB, SHPRH, SIRT5, TSPYL1, TSPYL4, UBR2"
