chr,tissue,tissueName,segmentID,start,end,isInClique,fantomExpression,fantomDistance,fantomCount,GTExExpression,GTExDistance,GTExCount,RNAPolCount
chrX,AD2,Adrenal gland,6,2822669,2838231,False,3.63766849640522,0,13,1.14736,0,1,0
chrX,AD2,Adrenal gland,7,2841719,2847349,False,0.0,12424,1,1.14736,0,1,0
chrX,AD2,Adrenal gland,9,2851219,2859651,True,0.0,16409,1,1.14736,0,2,0
chrX,AD2,Adrenal gland,12,2871724,2879304,False,0.0,0,1,1.14736,0,1,0
chrX,AD2,Adrenal gland,13,2879305,2894595,True,0.0,3242,1,1.14736,0,1,0
chrX,AD2,Adrenal gland,16,2911388,2915018,True,0.0,9371,1,7.31193,0,1,0
chrX,AD2,Adrenal gland,19,2924299,2938639,True,10.9130054892157,0,4,7.31193,0,2,1
chrX,AD2,Adrenal gland,22,2960033,2989232,True,0.0,0,4,0.104182,0,1,0
chrX,AD2,Adrenal gland,23,2989233,3026842,True,0.0,20983,1,0.0,0,1,0
chrX,AD2,Adrenal gland,24,3034735,3039950,False,0.0,66485,1,0.0,624,1,0
chrX,AD2,Adrenal gland,25,3039951,3046522,True,0.0,71701,1,0.0301167,0,1,0
chrX,AD2,Adrenal gland,27,3049614,3052982,False,0.0,81364,1,0.0301167,0,1,0
chrX,AD2,Adrenal gland,28,3052983,3058483,False,0.0,84733,1,0.0301167,0,2,0
chrX,AD2,Adrenal gland,29,3058484,3062149,True,0.0,90234,1,0.0301167,0,2,0
chrX,AD2,Adrenal gland,30,3062150,3065286,False,0.0,93900,1,0.0301167,0,1,0
chrX,AD2,Adrenal gland,37,3124854,3138154,False,0.0,46651,1,0.0,11258,1,0
chrX,AD2,Adrenal gland,39,3148886,3156143,False,0.0,28662,1,0.0,35290,1,0
chrX,AD2,Adrenal gland,40,3156144,3163994,False,0.0,20811,1,0.0,42548,1,0
chrX,AD2,Adrenal gland,41,3163995,3167944,False,0.0,16861,1,0.0,50399,1,0
chrX,AD2,Adrenal gland,43,3170993,3175703,True,0.0,9102,1,0.0,57397,1,0
chrX,AD2,Adrenal gland,47,3196871,3203310,False,0.0,12040,1,0.0,68234,1,0
chrX,AD2,Adrenal gland,48,3203311,3207579,False,0.0,18480,1,0.0,63965,1,0
chrX,AD2,Adrenal gland,50,3212168,3216104,False,0.0,27337,1,0.0,55440,1,0
chrX,AD2,Adrenal gland,59,3265426,3276067,True,0.0,0,2,0.0,0,1,0
chrX,AD2,Adrenal gland,60,3276068,3280734,False,0.0,4446,1,0.0,0,1,0
chrX,AD2,Adrenal gland,61,3283850,3289628,False,0.0,12228,1,0.0,0,1,0
chrX,AD2,Adrenal gland,65,3301118,3312451,True,0.0,0,2,11.5941,0,1,0
chrX,AD2,Adrenal gland,66,3312452,3322186,False,0.0,0,4,11.5941,0,1,0
chrX,AD2,Adrenal gland,67,3327620,3332064,False,0.0,0,1,11.5941,0,1,0
chrX,AD2,Adrenal gland,68,3332065,3336135,False,0.0,1290,1,11.5941,0,1,0
chrX,AD2,Adrenal gland,70,3339515,3342844,False,21.8260109784313,3797,1,11.5941,0,1,0
chrX,AD2,Adrenal gland,71,3342845,3353579,False,21.8260109784313,0,6,11.5941,0,1,0
chrX,AD2,Adrenal gland,73,3357681,3362801,False,3.63766849640522,10515,1,0.0,4348,1,0
chrX,AD2,Adrenal gland,79,3395387,3399722,False,3.63766849640522,48221,1,0.0,27005,1,0
chrX,AD2,Adrenal gland,81,3406387,3411480,False,3.63766849640522,59221,1,0.0,38005,1,0
chrX,AD2,Adrenal gland,85,3428887,3433960,True,3.63766849640522,81721,1,0.0,60505,1,0
chrX,AD2,Adrenal gland,86,3437085,3442612,True,0.0,77852,1,0.0,68703,1,0
