DS,What,chr,GO,NS,enrichment,name,ratio_in_study,ratio_in_pop,p_uncorrected,depth,study_count,p_fdr_bh,study_items
Blood cell pcHi-C,Cycles C3 w/ 1+ tissue vs Links w/ 1+ tissue,chr6,GO:0006338,BP,e,chromatin remodeling          ,69/775,69/953,5.1e-07,5,69,0.00239,"ARID1B, ASF1A, BRD2, CENPQ, CENPW, ESR1, HDAC2, HIST1H1A, HIST1H1B, HIST1H1C, HIST1H1D, HIST1H1E, HIST1H1T, HIST1H2AA, HIST1H2AB, HIST1H2AC, HIST1H2AD, HIST1H2AE, HIST1H2AG, HIST1H2AH, HIST1H2AI, HIST1H2AJ, HIST1H2AK, HIST1H2AL, HIST1H2AM, HIST1H2BA, HIST1H2BB, HIST1H2BC, HIST1H2BD, HIST1H2BE, HIST1H2BF, HIST1H2BG, HIST1H2BH, HIST1H2BI, HIST1H2BJ, HIST1H2BK, HIST1H2BL, HIST1H2BM, HIST1H2BN, HIST1H2BO, HIST1H3A, HIST1H3B, HIST1H3C, HIST1H3D, HIST1H3E, HIST1H3F, HIST1H3G, HIST1H3H, HIST1H3I, HIST1H3J, HIST1H4A, HIST1H4B, HIST1H4C, HIST1H4D, HIST1H4E, HIST1H4F, HIST1H4G, HIST1H4H, HIST1H4I, HIST1H4J, HIST1H4K, HIST1H4L, HMGA1, MYB, SHPRH, SIRT5, TSPYL1, TSPYL4, UBR2"
Blood cell pcHi-C,Cycles C3 w/ 1+ tissue vs Links w/ 1+ tissue,chr6,GO:0065003,BP,e,protein-containing complex assembly,108/775,112/953,1.01e-06,5,108,0.00239,"AARS2, ACOT13, AIF1, ALDH5A1, APOM, ARG1, ASF1A, BRD2, CD2AP, CENPQ, CENPW, CSNK2B, DDX39B, FBXO5, GMNN, GNMT, GOPC, HEY2, HFE, HIST1H1A, HIST1H1B, HIST1H1C, HIST1H1D, HIST1H1E, HIST1H1T, HIST1H2AA, HIST1H2AB, HIST1H2AC, HIST1H2AD, HIST1H2AE, HIST1H2AG, HIST1H2AH, HIST1H2AI, HIST1H2AJ, HIST1H2AK, HIST1H2AL, HIST1H2AM, HIST1H2BA, HIST1H2BB, HIST1H2BC, HIST1H2BD, HIST1H2BE, HIST1H2BF, HIST1H2BG, HIST1H2BH, HIST1H2BI, HIST1H2BJ, HIST1H2BK, HIST1H2BL, HIST1H2BM, HIST1H2BN, HIST1H2BO, HIST1H3A, HIST1H3B, HIST1H3C, HIST1H3D, HIST1H3E, HIST1H3F, HIST1H3G, HIST1H3H, HIST1H3I, HIST1H3J, HIST1H4A, HIST1H4B, HIST1H4C, HIST1H4D, HIST1H4E, HIST1H4F, HIST1H4G, HIST1H4H, HIST1H4I, HIST1H4J, HIST1H4K, HIST1H4L, HLA-DMA, HLA-DRB1, HMGA1, ITPR3, KCNQ5, KCTD20, LAMA4, MDN1, ME1, NDUFAF4, NUP153, OOEP, PFDN6, PLN, RANBP9, RIMS1, RIPK1, SCUBE3, SHPRH, SLC22A1, SNAP91, SNX9, SOD2, SRSF12, TAPBP, TCP1, TNFAIP3, TRIM27, TSPYL1, TSPYL4, TUBB, TUBB2A, TUBE1, WASF1"
Blood cell pcHi-C,Cycles C3 w/ 1+ tissue vs Links w/ 1+ tissue,chr6,GO:0043933,BP,e,protein-containing complex organization,114/775,119/953,1.92e-06,4,114,0.00239,"AARS2, ACOT13, AIF1, ALDH5A1, APOM, ARG1, ASF1A, BRD2, CD2AP, CENPQ, CENPW, CSNK2B, DDX39B, FBXO5, GMNN, GNMT, GOPC, HEY2, HFE, HIST1H1A, HIST1H1B, HIST1H1C, HIST1H1D, HIST1H1E, HIST1H1T, HIST1H2AA, HIST1H2AB, HIST1H2AC, HIST1H2AD, HIST1H2AE, HIST1H2AG, HIST1H2AH, HIST1H2AI, HIST1H2AJ, HIST1H2AK, HIST1H2AL, HIST1H2AM, HIST1H2BA, HIST1H2BB, HIST1H2BC, HIST1H2BD, HIST1H2BE, HIST1H2BF, HIST1H2BG, HIST1H2BH, HIST1H2BI, HIST1H2BJ, HIST1H2BK, HIST1H2BL, HIST1H2BM, HIST1H2BN, HIST1H2BO, HIST1H3A, HIST1H3B, HIST1H3C, HIST1H3D, HIST1H3E, HIST1H3F, HIST1H3G, HIST1H3H, HIST1H3I, HIST1H3J, HIST1H4A, HIST1H4B, HIST1H4C, HIST1H4D, HIST1H4E, HIST1H4F, HIST1H4G, HIST1H4H, HIST1H4I, HIST1H4J, HIST1H4K, HIST1H4L, HLA-DMA, HLA-DRB1, HMGA1, ITPR3, KCNQ5, KCTD20, LAMA4, MDN1, ME1, MICAL1, MTRF1L, NDUFAF4, NUP153, OOEP, PFDN6, PLN, RANBP9, RIMS1, RIPK1, RPL10A, RPS10, RPS12, RPS18, SCUBE3, SHPRH, SLC22A1, SNAP91, SNX9, SOD2, SRSF12, TAPBP, TCP1, TNFAIP3, TRIM27, TSPYL1, TSPYL4, TUBB, TUBB2A, TUBE1, WASF1"
Blood cell pcHi-C,Cycles C3 w/ 1+ tissue vs Links w/ 1+ tissue,chr6,GO:0071824,BP,e,protein-DNA complex subunit organization,63/775,63/953,2.28e-06,5,63,0.00239,"ASF1A, BRD2, CENPQ, HEY2, HIST1H1A, HIST1H1B, HIST1H1C, HIST1H1D, HIST1H1E, HIST1H1T, HIST1H2AA, HIST1H2AB, HIST1H2AC, HIST1H2AD, HIST1H2AE, HIST1H2AG, HIST1H2AH, HIST1H2AI, HIST1H2AJ, HIST1H2AK, HIST1H2AL, HIST1H2AM, HIST1H2BA, HIST1H2BB, HIST1H2BC, HIST1H2BD, HIST1H2BE, HIST1H2BF, HIST1H2BG, HIST1H2BH, HIST1H2BI, HIST1H2BJ, HIST1H2BK, HIST1H2BL, HIST1H2BM, HIST1H2BN, HIST1H2BO, HIST1H3A, HIST1H3B, HIST1H3C, HIST1H3D, HIST1H3E, HIST1H3F, HIST1H3G, HIST1H3H, HIST1H3I, HIST1H3J, HIST1H4A, HIST1H4B, HIST1H4C, HIST1H4D, HIST1H4E, HIST1H4F, HIST1H4G, HIST1H4H, HIST1H4I, HIST1H4J, HIST1H4K, HIST1H4L, HMGA1, SHPRH, TSPYL1, TSPYL4"
Blood cell pcHi-C,Cycles C3 w/ 1+ tissue vs Links w/ 1+ tissue,chr6,GO:0034728,BP,e,nucleosome organization       ,62/775,62/953,2.3e-06,6,62,0.00239,"ASF1A, BRD2, CENPQ, HIST1H1A, HIST1H1B, HIST1H1C, HIST1H1D, HIST1H1E, HIST1H1T, HIST1H2AA, HIST1H2AB, HIST1H2AC, HIST1H2AD, HIST1H2AE, HIST1H2AG, HIST1H2AH, HIST1H2AI, HIST1H2AJ, HIST1H2AK, HIST1H2AL, HIST1H2AM, HIST1H2BA, HIST1H2BB, HIST1H2BC, HIST1H2BD, HIST1H2BE, HIST1H2BF, HIST1H2BG, HIST1H2BH, HIST1H2BI, HIST1H2BJ, HIST1H2BK, HIST1H2BL, HIST1H2BM, HIST1H2BN, HIST1H2BO, HIST1H3A, HIST1H3B, HIST1H3C, HIST1H3D, HIST1H3E, HIST1H3F, HIST1H3G, HIST1H3H, HIST1H3I, HIST1H3J, HIST1H4A, HIST1H4B, HIST1H4C, HIST1H4D, HIST1H4E, HIST1H4F, HIST1H4G, HIST1H4H, HIST1H4I, HIST1H4J, HIST1H4K, HIST1H4L, HMGA1, SHPRH, TSPYL1, TSPYL4"
Blood cell pcHi-C,Cycles C3 w/ 1+ tissue vs Links w/ 1+ tissue,chr6,GO:0065004,BP,e,protein-DNA complex assembly  ,62/775,62/953,2.3e-06,6,62,0.00239,"ASF1A, BRD2, CENPQ, HEY2, HIST1H1A, HIST1H1B, HIST1H1C, HIST1H1D, HIST1H1E, HIST1H1T, HIST1H2AA, HIST1H2AB, HIST1H2AC, HIST1H2AD, HIST1H2AE, HIST1H2AG, HIST1H2AH, HIST1H2AI, HIST1H2AJ, HIST1H2AK, HIST1H2AL, HIST1H2AM, HIST1H2BA, HIST1H2BB, HIST1H2BC, HIST1H2BD, HIST1H2BE, HIST1H2BF, HIST1H2BG, HIST1H2BH, HIST1H2BI, HIST1H2BJ, HIST1H2BK, HIST1H2BL, HIST1H2BM, HIST1H2BN, HIST1H2BO, HIST1H3A, HIST1H3B, HIST1H3C, HIST1H3D, HIST1H3E, HIST1H3F, HIST1H3G, HIST1H3H, HIST1H3I, HIST1H3J, HIST1H4A, HIST1H4B, HIST1H4C, HIST1H4D, HIST1H4E, HIST1H4F, HIST1H4G, HIST1H4H, HIST1H4I, HIST1H4J, HIST1H4K, HIST1H4L, SHPRH, TSPYL1, TSPYL4"
Blood cell pcHi-C,Cycles C3 w/ 1+ tissue vs Links w/ 1+ tissue,chr6,GO:0022607,BP,e,cellular component assembly   ,132/775,140/953,3.45e-06,4,132,0.00293,"AARS2, ACOT13, AHI1, AIF1, ALDH5A1, APOM, ARG1, ASF1A, ATG5, BAG6, BRD2, CD2AP, CENPQ, CENPW, CLDN20, CSNK2B, DDX39B, DST, EHMT2, FBXO5, FGD2, FIG4, GJA10, GMNN, GNMT, GOPC, HEY2, HFE, HIST1H1A, HIST1H1B, HIST1H1C, HIST1H1D, HIST1H1E, HIST1H1T, HIST1H2AA, HIST1H2AB, HIST1H2AC, HIST1H2AD, HIST1H2AE, HIST1H2AG, HIST1H2AH, HIST1H2AI, HIST1H2AJ, HIST1H2AK, HIST1H2AL, HIST1H2AM, HIST1H2BA, HIST1H2BB, HIST1H2BC, HIST1H2BD, HIST1H2BE, HIST1H2BF, HIST1H2BG, HIST1H2BH, HIST1H2BI, HIST1H2BJ, HIST1H2BK, HIST1H2BL, HIST1H2BM, HIST1H2BN, HIST1H2BO, HIST1H3A, HIST1H3B, HIST1H3C, HIST1H3D, HIST1H3E, HIST1H3F, HIST1H3G, HIST1H3H, HIST1H3I, HIST1H3J, HIST1H4A, HIST1H4B, HIST1H4C, HIST1H4D, HIST1H4E, HIST1H4F, HIST1H4G, HIST1H4H, HIST1H4I, HIST1H4J, HIST1H4K, HIST1H4L, HLA-DMA, HLA-DRB1, HMGA1, ITPR3, KCNQ5, KCTD20, KHDC3L, KIAA1009, LAMA4, LRRC16A, MDN1, ME1, MSH5, MYO6, NDUFAF4, NEDD9, NUP153, OOEP, PARK2, PFDN6, PHACTR1, PLN, PTPRK, RAB23, RANBP9, RIMS1, RIPK1, RSPH4A, RSPH9, SCUBE3, SHPRH, SLC22A1, SNAP91, SNX9, SOD2, SRSF12, TAPBP, TBPL1, TCP1, TNFAIP3, TNXB, TRIM27, TSPYL1, TSPYL4, TUBB, TUBB2A, TUBE1, UBD, WASF1"
Blood cell pcHi-C,Cycles C3 w/ 1+ tissue vs Links w/ 1+ tissue,chr6,GO:0006334,BP,e,nucleosome assembly           ,61/775,61/953,3.77e-06,7,61,0.00293,"ASF1A, BRD2, CENPQ, HIST1H1A, HIST1H1B, HIST1H1C, HIST1H1D, HIST1H1E, HIST1H1T, HIST1H2AA, HIST1H2AB, HIST1H2AC, HIST1H2AD, HIST1H2AE, HIST1H2AG, HIST1H2AH, HIST1H2AI, HIST1H2AJ, HIST1H2AK, HIST1H2AL, HIST1H2AM, HIST1H2BA, HIST1H2BB, HIST1H2BC, HIST1H2BD, HIST1H2BE, HIST1H2BF, HIST1H2BG, HIST1H2BH, HIST1H2BI, HIST1H2BJ, HIST1H2BK, HIST1H2BL, HIST1H2BM, HIST1H2BN, HIST1H2BO, HIST1H3A, HIST1H3B, HIST1H3C, HIST1H3D, HIST1H3E, HIST1H3F, HIST1H3G, HIST1H3H, HIST1H3I, HIST1H3J, HIST1H4A, HIST1H4B, HIST1H4C, HIST1H4D, HIST1H4E, HIST1H4F, HIST1H4G, HIST1H4H, HIST1H4I, HIST1H4J, HIST1H4K, HIST1H4L, SHPRH, TSPYL1, TSPYL4"
Blood cell pcHi-C,Cycles C3 w/ 1+ tissue vs Links w/ 1+ tissue,chr6,GO:0071840,BP,e,cellular component organization or biogenesis,213/775,236/953,2.99e-05,2,213,0.0155,"AARS2, ACOT13, AGER, AHI1, AIF1, ALDH5A1, APOM, ARG1, ARID1B, ASCC3, ASF1A, ATG5, ATP6V1G2, BAG6, BAK1, BLOC1S5, BRD2, C6orf15, CD2AP, CENPQ, CENPW, CEP57L1, CLDN20, CLIC5, COL10A1, COL12A1, COL19A1, COL21A1, COL9A1, CRISP1, CSNK2B, DCDC2, DDR1, DDX39B, DEK, DOPEY1, DSP, DST, DTNBP1, DYNLT1, EDN1, EHMT2, EPB41L2, EPHA7, ESR1, FBXO5, FGD2, FGFR1OP, FIG4, FLOT1, FOXC1, FOXF2, FYN, GCLC, GGNBP1, GJA10, GMNN, GNL1, GNMT, GOPC, HACE1, HDAC2, HEY2, HFE, HIST1H1A, HIST1H1B, HIST1H1C, HIST1H1D, HIST1H1E, HIST1H1T, HIST1H2AA, HIST1H2AB, HIST1H2AC, HIST1H2AD, HIST1H2AE, HIST1H2AG, HIST1H2AH, HIST1H2AI, HIST1H2AJ, HIST1H2AK, HIST1H2AL, HIST1H2AM, HIST1H2BA, HIST1H2BB, HIST1H2BC, HIST1H2BD, HIST1H2BE, HIST1H2BF, HIST1H2BG, HIST1H2BH, HIST1H2BI, HIST1H2BJ, HIST1H2BK, HIST1H2BL, HIST1H2BM, HIST1H2BN, HIST1H2BO, HIST1H3A, HIST1H3B, HIST1H3C, HIST1H3D, HIST1H3E, HIST1H3F, HIST1H3G, HIST1H3H, HIST1H3I, HIST1H3J, HIST1H4A, HIST1H4B, HIST1H4C, HIST1H4D, HIST1H4E, HIST1H4F, HIST1H4G, HIST1H4H, HIST1H4I, HIST1H4J, HIST1H4K, HIST1H4L, HLA-DMA, HLA-DRB1, HMGA1, HMGN3, HSP90AB1, IER3, ITPR3, KATNA1, KCNQ5, KCTD20, KHDC3L, KIAA1009, KIF13A, KIFC1, L3MBTL3, LAMA2, LAMA4, LATS1, LRRC16A, LST1, MAP7, MDN1, ME1, MICAL1, MSH5, MTCH1, MTFR2, MTRF1L, MYB, MYO6, NDUFAF4, NEDD9, NR2E1, NUP153, NUP43, OOEP, PARK2, PERP, PEX3, PEX6, PEX7, PFDN6, PHACTR1, PHF1, PHIP, PLN, PTK7, PTPRK, RAB23, RAB32, RANBP9, RIMS1, RIPK1, RPL10A, RPS10, RPS12, RPS18, RPS6KA2, RRP36, RSPH4A, RSPH9, SCUBE3, SHPRH, SIRT5, SLC22A1, SNAP91, SNX9, SOD2, SRSF12, STX11, SYNE1, SYNGAP1, TAPBP, TBPL1, TCP1, TFAP2A, TMEM30A, TNF, TNFAIP3, TNXB, TREM2, TRIM27, TSPYL1, TSPYL4, TTK, TUBB, TUBB2A, TUBE1, TULP1, UBD, UBR2, VEGFA, WASF1, ZKSCAN3"
Blood cell pcHi-C,Cycles C3 w/ 1+ tissue vs Links w/ 1+ tissue,chr6,GO:0016043,BP,e,cellular component organization,211/775,234/953,4.33e-05,3,211,0.0208,"AARS2, ACOT13, AGER, AHI1, AIF1, ALDH5A1, APOM, ARG1, ARID1B, ASCC3, ASF1A, ATG5, ATP6V1G2, BAG6, BAK1, BLOC1S5, BRD2, C6orf15, CD2AP, CENPQ, CENPW, CEP57L1, CLDN20, CLIC5, COL10A1, COL12A1, COL19A1, COL21A1, COL9A1, CRISP1, CSNK2B, DCDC2, DDR1, DDX39B, DEK, DOPEY1, DSP, DST, DTNBP1, DYNLT1, EDN1, EHMT2, EPB41L2, EPHA7, ESR1, FBXO5, FGD2, FGFR1OP, FIG4, FLOT1, FOXC1, FOXF2, FYN, GCLC, GGNBP1, GJA10, GMNN, GNMT, GOPC, HACE1, HDAC2, HEY2, HFE, HIST1H1A, HIST1H1B, HIST1H1C, HIST1H1D, HIST1H1E, HIST1H1T, HIST1H2AA, HIST1H2AB, HIST1H2AC, HIST1H2AD, HIST1H2AE, HIST1H2AG, HIST1H2AH, HIST1H2AI, HIST1H2AJ, HIST1H2AK, HIST1H2AL, HIST1H2AM, HIST1H2BA, HIST1H2BB, HIST1H2BC, HIST1H2BD, HIST1H2BE, HIST1H2BF, HIST1H2BG, HIST1H2BH, HIST1H2BI, HIST1H2BJ, HIST1H2BK, HIST1H2BL, HIST1H2BM, HIST1H2BN, HIST1H2BO, HIST1H3A, HIST1H3B, HIST1H3C, HIST1H3D, HIST1H3E, HIST1H3F, HIST1H3G, HIST1H3H, HIST1H3I, HIST1H3J, HIST1H4A, HIST1H4B, HIST1H4C, HIST1H4D, HIST1H4E, HIST1H4F, HIST1H4G, HIST1H4H, HIST1H4I, HIST1H4J, HIST1H4K, HIST1H4L, HLA-DMA, HLA-DRB1, HMGA1, HMGN3, HSP90AB1, IER3, ITPR3, KATNA1, KCNQ5, KCTD20, KHDC3L, KIAA1009, KIF13A, KIFC1, L3MBTL3, LAMA2, LAMA4, LATS1, LRRC16A, LST1, MAP7, MDN1, ME1, MICAL1, MSH5, MTCH1, MTFR2, MTRF1L, MYB, MYO6, NDUFAF4, NEDD9, NR2E1, NUP153, NUP43, OOEP, PARK2, PERP, PEX3, PEX6, PEX7, PFDN6, PHACTR1, PHF1, PHIP, PLN, PTK7, PTPRK, RAB23, RAB32, RANBP9, RIMS1, RIPK1, RPL10A, RPS10, RPS12, RPS18, RPS6KA2, RSPH4A, RSPH9, SCUBE3, SHPRH, SIRT5, SLC22A1, SNAP91, SNX9, SOD2, SRSF12, STX11, SYNE1, SYNGAP1, TAPBP, TBPL1, TCP1, TFAP2A, TMEM30A, TNF, TNFAIP3, TNXB, TREM2, TRIM27, TSPYL1, TSPYL4, TTK, TUBB, TUBB2A, TUBE1, TULP1, UBD, UBR2, VEGFA, WASF1, ZKSCAN3"
